都道府県,人口,ホテル客室数,旅館客室数,魅力度
北海道,5224614.0,63650,47355,73.4
京都府,2578087.0,22820,10208,56.4
沖縄県,1467480.0,33926,8890,54.4
東京都,14047594.0,97879,44186,47.5
大阪府,8837685.0,56992,19319,42.0
神奈川県,9237337.0,30631,25040,40.0
福岡県,5135214.0,38867,11234,37.5
長崎県,1312317.0,6353,14067,33.9
奈良県,1324473.0,3528,5527,33.4
石川県,1132526.0,10816,14142,32.5
長野県,2048011.0,26850,39646,32.5
千葉県,6284480.0,28784,23687,30.4
宮城県,2301996.0,21606,11994,30.0
兵庫県,5465002.0,27129,16145,30.0
静岡県,3633202.0,27350,44648,29.4
鹿児島県,1588256.0,14531,13217,27.1
宮崎県,1069576.0,10615,4540,26.6
熊本県,1738301.0,8969,19292,26.4
広島県,2799702.0,16956,10450,26.0
愛知県,7542415.0,27606,28411,25.3
青森県,1237984.0,10927,10608,24.6
新潟県,2201272.0,20182,26556,24.1
三重県,1770254.0,7978,25213,22.4
富山県,1034814.0,8060,6925,22.3
山梨県,809974.0,6729,16640,22.2
秋田県,959502.0,7697,8846,21.9
大分県,1123852.0,10737,13750,21.9
香川県,950244.0,8269,4767,21.2
高知県,691527.0,6426,5488,20.7
岩手県,1210534.0,10918,10834,19.9
山形県,1068027.0,8161,12565,19.8
和歌山県,922584.0,5605,12195,19.7
愛媛県,1334841.0,9786,5586,19.7
福島県,1833152.0,16599,22223,19.6
岡山県,1888432.0,13073,9091,19.2
岐阜県,1978742.0,11465,14004,18.2
島根県,671126.0,4425,6191,17.3
滋賀県,1413610.0,8030,5904,16.8
福井県,766863.0,4893,11817,16.6
鳥取県,553407.0,4501,6545,16.5
栃木県,1933146.0,10428,25028,16.2
徳島県,719559.0,2567,7380,15.6
山口県,1342059.0,6711,13140,15.6
群馬県,1939110.0,11932,18503,15.3
埼玉県,7344765.0,15649,5198,14.4
佐賀県,811442.0,4521,5401,12.8
茨城県,2867009.0,15084,12875,11.6
